product_id,roll_number,shaft_height,shaft_radius
LOAD_SHAFT_1756468379952_0_PNHIZW,LOAD_ROLL_1756468379952_0,14.41,7.43
LOAD_SHAFT_1756468379952_10_H09Y3L,LOAD_ROLL_1756468379952_10,14.18,24.46
LOAD_SHAFT_1756468379952_2_OHY5T7,LOAD_ROLL_1756468379952_2,34.91,6.73
LOAD_SHAFT_1756468379952_20_4M0SOG,LOAD_ROLL_1756468379952_20,10.01,23.57
LOAD_SHAFT_1756468379952_8_592ADI,LOAD_ROLL_1756468379952_8,17.13,17.84
LOAD_SHAFT_1756468379952_4_PW60M4,LOAD_ROLL_1756468379952_4,16.76,14.75
LOAD_SHAFT_1756468379952_26_7JD3RL,LOAD_ROLL_1756468379952_26,40.84,6.33
LOAD_SHAFT_1756468379952_22_E59FR1,LOAD_ROLL_1756468379952_22,30.63,6.28
LOAD_SHAFT_1756468379952_12_XDK161,LOAD_ROLL_1756468379952_12,16.03,23.37
LOAD_SHAFT_1756468379952_6_I2990F,LOAD_ROLL_1756468379952_6,22.34,15.25
LOAD_SHAFT_1756468379952_28_CL0O3K,LOAD_ROLL_1756468379952_28,47.01,18.43
LOAD_SHAFT_1756468379952_30_Q5P8SZ,LOAD_ROLL_1756468379952_30,39.55,18.97
LOAD_SHAFT_1756468379952_18_LKNZ2X,LOAD_ROLL_1756468379952_18,35.73,7.03
LOAD_SHAFT_1756468379952_24_RZRXSE,LOAD_ROLL_1756468379952_24,15.72,9.24
LOAD_SHAFT_1756468379952_14_5DTEK0,LOAD_ROLL_1756468379952_14,45.99,14.99
LOAD_SHAFT_1756468379952_16_KL0I1O,LOAD_ROLL_1756468379952_16,21.04,13.29
LOAD_SHAFT_1756468379952_32_DYE943,LOAD_ROLL_1756468379952_32,45.35,18.19
LOAD_SHAFT_1756468379952_38_YIR10E,LOAD_ROLL_1756468379952_38,45.25,20.22
LOAD_SHAFT_1756468379952_40_UW7RY2,LOAD_ROLL_1756468379952_40,31.07,6.97
LOAD_SHAFT_1756468379952_48_1I1X99,LOAD_ROLL_1756468379952_48,30.02,11.46
LOAD_SHAFT_1756468379952_44_XLTVJJ,LOAD_ROLL_1756468379952_44,19.95,6.08
LOAD_SHAFT_1756468379952_42_RXOZ8Z,LOAD_ROLL_1756468379952_42,48.6,18.22
LOAD_SHAFT_1756468379952_36_PFMM96,LOAD_ROLL_1756468379952_36,29.39,15.51
LOAD_SHAFT_1756468379952_34_IPGTAT,LOAD_ROLL_1756468379952_34,35.59,23.53
LOAD_SHAFT_1756468379952_46_6YMDF9,LOAD_ROLL_1756468379952_46,12.1,9.85
LOAD_SHAFT_1756468379952_50_LCJLQY,LOAD_ROLL_1756468379952_50,30.55,15.45
LOAD_SHAFT_1756468379952_52_BTGVG8,LOAD_ROLL_1756468379952_52,29.88,20.42
LOAD_SHAFT_1756468379952_62_RSBCEU,LOAD_ROLL_1756468379952_62,21.11,15.89
LOAD_SHAFT_1756468379953_90_XAAHJD,LOAD_ROLL_1756468379953_90,33.47,5.74
LOAD_SHAFT_1756468379953_92_HN1OS8,LOAD_ROLL_1756468379953_92,16.19,18.47
LOAD_SHAFT_1756468379953_82_72C1D3,LOAD_ROLL_1756468379953_82,10.33,5.45
LOAD_SHAFT_1756468379952_70_CUO8EB,LOAD_ROLL_1756468379952_70,33.68,9.91
LOAD_SHAFT_1756468379952_68_XH01JX,LOAD_ROLL_1756468379952_68,35.58,5.28
LOAD_SHAFT_1756468379952_76_DYNUC6,LOAD_ROLL_1756468379952_76,45.32,13.36
LOAD_SHAFT_1756468379953_96_067WF6,LOAD_ROLL_1756468379953_96,12.25,16.99
LOAD_SHAFT_1756468379953_86_FSEZYW,LOAD_ROLL_1756468379953_86,46.93,8.05
LOAD_SHAFT_1756468379952_74_KBWDG5,LOAD_ROLL_1756468379952_74,34.51,12.19
LOAD_SHAFT_1756468379952_54_FWRTZU,LOAD_ROLL_1756468379952_54,43.45,6.0
LOAD_SHAFT_1756468379952_58_1UYQWW,LOAD_ROLL_1756468379952_58,49.96,23.76
LOAD_SHAFT_1756468379952_60_KTBBKY,LOAD_ROLL_1756468379952_60,13.02,9.35
LOAD_SHAFT_1756468379953_98_B7NX0C,LOAD_ROLL_1756468379953_98,41.49,10.96
LOAD_SHAFT_1756468379952_72_OMD0V5,LOAD_ROLL_1756468379952_72,36.46,8.05
LOAD_SHAFT_1756468379953_94_MBEML5,LOAD_ROLL_1756468379953_94,40.27,10.55
LOAD_SHAFT_1756468379953_84_K2J5CX,LOAD_ROLL_1756468379953_84,44.59,16.85
LOAD_SHAFT_1756468379952_56_31DI0M,LOAD_ROLL_1756468379952_56,25.91,10.69
LOAD_SHAFT_1756468379952_64_PTSS2N,LOAD_ROLL_1756468379952_64,39.97,11.45
LOAD_SHAFT_1756468379953_88_S50SOF,LOAD_ROLL_1756468379953_88,12.52,24.75
LOAD_SHAFT_1756468379953_78_7ZN89P,LOAD_ROLL_1756468379953_78,10.53,16.87
LOAD_SHAFT_1756468379953_80_RU4WA5,LOAD_ROLL_1756468379953_80,26.32,22.07
LOAD_SHAFT_1756468379953_100_UEABQ2,LOAD_ROLL_1756468379953_100,41.27,23.53
LOAD_SHAFT_1756468379953_108_TGCZCB,LOAD_ROLL_1756468379953_108,31.78,9.34
LOAD_SHAFT_1756468379953_122_H8KJ6M,LOAD_ROLL_1756468379953_122,42.31,20.08
LOAD_SHAFT_1756468379953_124_5GXHGO,LOAD_ROLL_1756468379953_124,30.92,17.03
LOAD_SHAFT_1756468379953_128_M3XKM8,LOAD_ROLL_1756468379953_128,11.43,17.91
LOAD_SHAFT_1756468379953_106_KVLQFN,LOAD_ROLL_1756468379953_106,14.92,6.13
LOAD_SHAFT_1756468379953_118_Q17ZZ5,LOAD_ROLL_1756468379953_118,20.32,11.52
LOAD_SHAFT_1756468379953_132_9TUP5T,LOAD_ROLL_1756468379953_132,17.25,19.68
LOAD_SHAFT_1756468379953_104_N51XG9,LOAD_ROLL_1756468379953_104,31.88,20.54
LOAD_SHAFT_1756468379953_116_TI80F5,LOAD_ROLL_1756468379953_116,32.59,20.52
LOAD_SHAFT_1756468379953_142_5DVZ7P,LOAD_ROLL_1756468379953_142,14.58,14.66
LOAD_SHAFT_1756468379953_114_TEDXS9,LOAD_ROLL_1756468379953_114,49.28,16.68
LOAD_SHAFT_1756468379953_136_KDFRJD,LOAD_ROLL_1756468379953_136,26.6,24.32
LOAD_SHAFT_1756468379953_110_G5F8SM,LOAD_ROLL_1756468379953_110,27.79,11.39
LOAD_SHAFT_1756468379953_130_PFYNW0,LOAD_ROLL_1756468379953_130,26.82,13.41
LOAD_SHAFT_1756468379953_102_BX0ARQ,LOAD_ROLL_1756468379953_102,33.55,13.52
LOAD_SHAFT_1756468379953_112_T5FVLA,LOAD_ROLL_1756468379953_112,42.17,23.79
LOAD_SHAFT_1756468379953_140_6L3769,LOAD_ROLL_1756468379953_140,19.18,14.29
LOAD_SHAFT_1756468379953_120_1R68LO,LOAD_ROLL_1756468379953_120,40.08,20.92
LOAD_SHAFT_1756468379953_138_M4T5UF,LOAD_ROLL_1756468379953_138,13.52,17.63
LOAD_SHAFT_1756468379953_126_791LUD,LOAD_ROLL_1756468379953_126,27.42,6.81
LOAD_SHAFT_1756468379953_134_BW6JZ3,LOAD_ROLL_1756468379953_134,47.13,9.53
LOAD_SHAFT_1756468379953_144_582RVG,LOAD_ROLL_1756468379953_144,38.41,12.83
LOAD_SHAFT_1756468379953_148_6OJE7K,LOAD_ROLL_1756468379953_148,31.68,13.13
LOAD_SHAFT_1756468379953_146_4BGGBX,LOAD_ROLL_1756468379953_146,15.78,13.53
LOAD_SHAFT_1756468379953_150_G7CYYH,LOAD_ROLL_1756468379953_150,33.8,17.18
LOAD_SHAFT_1756468379953_168_J6UYE9,LOAD_ROLL_1756468379953_168,20.11,10.87
LOAD_SHAFT_1756468379953_158_HE2H47,LOAD_ROLL_1756468379953_158,24.6,13.9
